174,[ 0.9247  1.3891  1.8065] s
175,[ 0.4173  0.9697  1.3865  1.8106] s
176,[ 0.5141  1.0888  1.4855  1.9051] s
177,[ 0.2462  0.8324  1.2461  1.6374] s
178,[ 0.1081  0.8464  1.3336  1.7498] s
179,[ 0.3329  1.1485  1.5551  1.9797] s
180,[ 0.3045  0.7844  1.2137  1.6155] s
181,[ 1.059   1.4906  1.9121] s
182,[ 0.7062  1.1933  1.5934] s
183,[ 0.4061  0.9104  1.2942  1.6905] s
184,[ 1.1584  1.5829] s
185,[ 0.0605  0.7469  1.2091  1.6077] s
186,[ 0.265   0.8477  1.2541  1.6496] s
187,[ 0.1809  0.9024  1.3419  1.7475] s
188,[ 0.1469  0.7222  1.2183  1.6254] s
189,[ 0.179   0.9692  1.4057  1.8277] s
190,[ 0.4937  1.0649  1.4924  1.9198] s
191,[ 0.8058  1.3332  1.7474] s
192,[    2.   1087.8  1519.7  1946.5] ms
193,[ 0.0246  0.6869  1.1816  1.5809] s
194,[ 0.8754  1.3511  1.7631] s
195,[ 0.3028  0.9176  1.3334  1.734 ] s
196,[ 0.2956  1.1126  1.5482  1.9795] s
197,[ 0.6187  1.1879  1.5899] s
198,[ 0.5987  1.1173  1.5133  1.9349] s
199,[ 1.1127  1.5355  1.9612] s
200,[ 0.3444  1.1111  1.5462  1.9736] s
201,[ 0.2634  0.8313  1.2781  1.6825] s
202,[ 0.1537  0.9361  1.3675  1.7756] s
203,[ 0.5056  1.176   1.5867] s
204,[ 0.7951  1.2803  1.6983] s
205,[ 1.0475  1.5032  1.9341] s
206,[ 1.0468  1.4772  1.8986] s
207,[ 0.3988  1.1502  1.582 ] s
208,[ 0.0639  0.8048  1.2837  1.6855] s
209,[ 0.3996  1.0793  1.5162  1.9448] s
210,[ 0.4457  0.999   1.4174  1.8306] s
211,[ 1.1059  1.5113  1.9303] s
212,[ 0.4856  1.0277  1.3922  1.7953] s
213,[ 0.6669  1.1849  1.5802] s
214,[ 0.4203  1.0209  1.4084  1.8192] s
215,[ 0.2129  0.8156  1.272   1.6753] s
216,[ 0.7183  1.2507  1.6639] s
217,[ 0.5946  1.1406  1.5496  1.9762] s
218,[ 0.8749  1.3281  1.7371] s
219,[ 0.2127  1.1125  1.5477  1.9764] s
220,[ 0.132   0.9448  1.3719  1.7803] s
221,[ 0.8294  1.324   1.7387] s
222,[ 0.2781  0.861   1.2611  1.661 ] s
223,[ 0.8408  1.2973  1.6938] s
224,[ 0.6936  1.1728  1.5524  1.9703] s
225,[ 0.7722  1.2973  1.7046] s
226,[ 0.6991  1.2095  1.6083] s
227,[ 0.6882  1.201   1.6233] s
228,[ 0.5687  1.1827  1.5831] s
229,[ 0.76    1.3098  1.7302] s
230,[ 0.066   0.7415  1.2044  1.5979] s
231,[ 0.4054  0.9598  1.3483  1.7505] s
232,[ 0.3433  0.8424  1.2735  1.6879] s
233,[ 0.8452  1.3207  1.731 ] s
234,[ 0.831   1.296   1.7114] s
235,[ 0.611   1.1948  1.6114] s
236,[ 0.6666  1.2102  1.6102] s
237,[ 0.3934  0.9341  1.3307  1.7381] s
238,[ 0.692   1.1902  1.5788] s
239,[ 0.4246  1.0468  1.4461  1.8609] s
240,[ 0.178   1.0263  1.4549  1.8772] s
241,[ 0.3831  1.1398  1.5678  1.9962] s
242,[ 0.0615  0.9171  1.3755  1.7861] s
243,[ 0.3745  1.0386  1.4485  1.8626] s
244,[ 0.8672  1.3632  1.7869] s
245,[ 0.969   1.4468  1.8687] s
246,[ 0.5126  1.0356  1.4285  1.8439] s
247,[ 0.2998  0.8482  1.3032  1.7121] s
248,[ 0.6321  1.1836  1.5938] s
249,[ 0.2342  0.9676  1.3964  1.8142] s
250,[ 0.5802  1.1175  1.5173  1.9383] s
251,[ 0.9696  1.4081  1.8264] s
252,[ 0.8935  1.3583  1.7699] s
253,[ 0.3533  1.0535  1.4745  1.8966] s
254,[ 0.4513  1.0275  1.4178  1.8292] s
255,[ 1.2469  1.6849] s
256,[ 0.8597  1.3375  1.753 ] s
257,[ 0.9478  1.4079  1.8285] s
258,[ 0.7078  1.2511  1.6608] s
259,[ 0.0728  0.7776  1.2427  1.6374] s
260,[    5.6   769.4  1251.8  1660.9] ms
261,[ 0.0708  0.9254  1.3838  1.8125] s
262,[ 0.335   0.9559  1.384   1.8035] s
263,[ 0.3741  1.0161  1.419   1.8312] s
264,[ 0.4689  1.1553  1.5597  1.9846] s
265,[ 0.3605  0.9945  1.4208  1.837 ] s
266,[ 0.6358  1.1592  1.5672  1.9911] s
267,[ 0.3772  0.9694  1.3883  1.7999] s
268,[ 0.0216  1.0188  1.4322  1.8457] s
269,[ 0.8063  1.3079  1.7183] s
270,[ 0.4077  1.046   1.4638  1.8848] s
271,[ 0.255   0.9072  1.3059  1.7042] s
272,[ 0.9857  1.4237  1.8481] s
273,[ 0.8727  1.3526  1.7691] s
274,[ 1.0924  1.5115  1.9348] s
275,[ 0.8005  1.2996  1.7052] s
276,[ 0.9457  1.4026  1.818 ] s
277,[ 0.8192  1.3164  1.7327] s
278,[ 0.4896  1.0788  1.486   1.9054] s
279,[ 0.3664  0.898   1.3321  1.7444] s
280,[ 0.2336  0.8431  1.272   1.6687] s
281,[ 0.6905  1.1706  1.5683  1.994 ] s
282,[ 0.7887  1.3194  1.7359] s
